ItemNum,Description,Fee,DerivedFee
127,"Video attendance lasting at least 45 minutes by a specialist in the practice of the specialist’s specialty of gynaecology, following referral of the patient to the specialist by a referring practitioner—initial attendance in a single course of treatment, if: (a) the specialist takes a comprehensive history, including psycho-social history and medication review; and (b) the specialist undertakes any of the following that are clinically relevant: (i) arranging for necessary investigations which may include a detailed physical examination; (ii) consideration of multiple complex diagnoses; (iii) discussion of all treatment options available; (iv) assessment of pros and cons of each treatment option given patient characteristics and medical history; (v) consideration, discussion and provision of necessary referrals for clinically appropriate investigations or treatment; (vi) communication of a patient-centred management plan; and (c) the specialist makes available to the patient or carer written documentation that outlines treatment options and information on associated risks and benefits; and (d) an attendance on the patient did not take place on the same day by the same specialist gynaecologist in the same single course of treatment.",178.70,
128,"Professional attendance at a place other than consulting rooms or hospital, by a consultant physician in the practice of the consultant physician's specialty (other than psychiatry) following referral of the patient to the consultant physician by a referring practitioner-each attendance (other than a service to which item 131 applies) after the first in a single course of treatment",131.10,
129,"Video attendance lasting at least 45 minutes by a specialist in the practice of the specialist’s speciality of gynaecology, following referral of the patient to the specialist by a referring practitioner - an attendance after the initial attendance in a single course of treatment if: (a) the specialist updates the patient’s comprehensive history, including psycho-social history and medication review; and (b) the specialist reviews implemented management strategies; and (c) the specialist undertakes any of the following that are clinically relevant: (i) update of management plan; (ii) arranging for necessary investigations which may include a detailed physical examination; (iii) discussion of treatment options; (iv) consideration, discussion and provision of necessary referrals; (v) provision of appropriate education; and (d) the specialist makes available to the patient or carer written documentation that outlines treatment options and information on associated risks and benefits; and (e) an attendance on the patient did not take place on the same day by the specialist for the same single course of treatment.",89.40,
131,"Professional attendance at a place other than consulting rooms or hospital, by a consultant physician in the practice of the consultant physician's specialty (other than psychiatry) following referral of the patient to the consultant physician by a referring practitioner-each minor attendance after the first in a single course of treatment",94.45,
132,"Professional attendance by a consultant physician in the practice of the consultant physician's specialty (other than psychiatry) lasting at least 45 minutes for an initial assessment of a patient with at least 2 morbidities (which may include complex congenital, developmental and behavioural disorders) following referral of the patient to the consultant physician by a referring practitioner, if: (a) an assessment is undertaken that covers: (i) a comprehensive history, including psychosocial history and medication review; and (ii) comprehensive multi or detailed single organ system assessment; and (iii) the formulation of differential diagnoses; and (b) a consultant physician treatment and management plan of significant complexity is prepared and provided to the referring practitioner, which involves: (i) an opinion on diagnosis and risk assessment; and (ii) treatment options and decisions; and (iii) medication recommendations; and (c) an attendance on the patient to which item 110, 116, 119, 91824, 91825, 91826 or 91836 applies did not take place on the same day by the same consultant physician; and (d) this item has not applied to an attendance on the patient in the preceding 12 months by the same consultant physician",312.45,
133,"Professional attendance by a consultant physician in the practice of the consultant physician’s specialty (other than psychiatry) lasting at least 20 minutes after the initial attendance in a single course of treatment for a review of a patient with at least 2 morbidities (which may include complex congenital, developmental and behavioural disorders) if: (a) a review is undertaken that covers: (i) review of initial presenting problems and results of diagnostic investigations; and (ii) review of responses to treatment and medication plans initiated at time of initial consultation; and (iii) comprehensive multi or detailed single organ system assessment; and (iv) review of original and differential diagnoses; and (b) the modified consultant physician treatment and management plan is provided to the referring practitioner, which involves, if appropriate: (i) a revised opinion on the diagnosis and risk assessment; and (ii) treatment options and decisions; and (iii) revised medication recommendations; and (c) an attendance on the patient to which item 110, 116, 119, 91824, 91825, 91826 or 91836 applies did not take place on the same day by the same consultant physician; and (d) item 132 applied to an attendance claimed in the preceding 12 months; and (e) the attendance under this item is claimed by the same consultant physician who claimed item 132 or a locum tenens; and (f) this item has not applied more than twice in any 12 month period",156.45,
135,"Professional attendance lasting at least 45 minutes by a consultant physician in the practice of the consultant physician’s specialty of paediatrics, following referral of the patient to the consultant paediatrician by a referring practitioner, for a patient aged under 25, if the consultant paediatrician: (a) undertakes, or has previously undertaken in prior attendances, a comprehensive assessment in relation to which a diagnosis of a complex neurodevelopmental disorder (such as autism spectrum disorder) is made (if appropriate, using information provided by an eligible allied health provider); and (b) develops a treatment and management plan, which must include: (i) documentation of the confirmed diagnosis; and (ii) findings of any assessments performed for the purposes of formulation of the diagnosis or contribution to the treatment and management plan; and (iii) a risk assessment; and (iv) treatment options (which may include biopsychosocial recommendations); and (c) provides a copy of the treatment and management plan to: (i) the referring practitioner; and (ii) one or more allied health providers, if appropriate, for the treatment of the patient; (other than attendance on a patient for whom payment has previously been made under this item or item 137, 139, 289, 92140, 92141, 92142 or 92434) Applicable only once per lifetime",312.45,
137,"Professional attendance lasting at least 45 minutes by a specialist or consultant physician (not including a general practitioner), following referral of the patient to the specialist or consultant physician by a referring practitioner, for a patient aged under 25, if the specialist or consultant physician: (a) undertakes, or has previously undertaken in prior attendances, a comprehensive assessment in relation to which a diagnosis of an eligible disability is made (if appropriate, using information provided by an eligible allied health provider); and (b) develops a treatment and management plan, which must include: (i) documentation of the confirmed diagnosis; and (ii) findings of any assessments performed for the purposes of formulation of the diagnosis or contribution to the treatment and management plan; and (iii) a risk assessment; and (iv) treatment options (which may include biopsychosocial recommendations); and (c) provides a copy of the treatment and management plan to: (i) the referring practitioner; and (ii) one or more allied health providers, if appropriate, for the treatment of the patient; (other than attendance on a patient for whom payment has previously been made under this item or item 135, 139, 289, 92140, 92141, 92142 or 92434) Applicable only once per lifetime",312.45,
139,"Professional attendance lasting at least 45 minutes, at a place other than a hospital, by a general practitioner (not including a specialist or consultant physician), for a patient aged under 25, if the general practitioner: (a) undertakes, or has previously undertaken in prior attendances, a comprehensive assessment in relation to which a diagnosis of an eligible disability is made (if appropriate, using information provided by an eligible allied health provider); and (b) develops a treatment and management plan, which must include: (i) documentation of the confirmed diagnosis; and (ii) findings of any assessments performed for the purposes of formulation of the diagnosis or contribution to the treatment and management plan; and (iii) a risk assessment; and (iv) treatment options (which may include biopsychosocial recommendations); and (c) provides a copy of the treatment and management plan to one or more allied health providers, if appropriate, for the treatment of the patient; (other than attendance on a patient for whom payment has previously been made under this item or item 135, 137, 289, 92140, 92141, 92142 or 92434) Applicable only once per lifetime",156.95,
141,"Professional attendance of more than 60 minutes in duration at consulting rooms or hospital by a consultant physician or specialist in the practice of the consultant physician's or specialist's specialty of geriatric medicine, if: (a) the patient is at least 65 years old and referred by a medical practitioner practising in general practice (including a general practitioner, but not including a specialist or consultant physician) or a participating nurse practitioner; and (b) the attendance is initiated by the referring practitioner for the provision of a comprehensive assessment and management plan; and (c) during the attendance: (i) the medical, physical, psychological and social aspects of the patient's health are evaluated in detail using appropriately validated assessment tools if indicated (the assessment); and (ii) the patient's various health problems and care needs are identified and prioritised (the formulation); and (iii) a detailed management plan is prepared (the management plan) setting out: (A) the prioritised list of health problems and care needs; and (B) short and longer term management goals; and (C) recommended actions or intervention strategies to be undertaken by the patient's general practitioner or another relevant health care provider that are likely to improve or maintain health status and are readily available and acceptable to the patient and the patient's family and carers; and (iv) the management plan is explained and discussed with the patient and, if appropriate, the patient's family and any carers; and (v) the management plan is communicated in writing to the referring practitioner; and (d) an attendance to which item 104, 105, 107, 108, 110, 116 or 119 applies has not been provided to the patient on the same day by the same practitioner; and (e) an attendance to which this item or item 145 applies has not been provided to the patient by the same practitioner in the preceding 12 months",535.95,
143,"Professional attendance of more than 30 minutes in duration at consulting rooms or hospital by a consultant physician or specialist in the practice of the consultant physician's or specialist's specialty of geriatric medicine to review a management plan previously prepared by that consultant physician or specialist under item 141 or 145, if: (a) the review is initiated by the referring medical practitioner practising in general practice or a participating nurse practitioner; and (b) during the attendance: (i) the patient's health status is reassessed; and (ii) a management plan prepared under item 141 or 145 is reviewed and revised; and (iii) the revised management plan is explained to the patient and (if appropriate) the patient's family and any carers and communicated in writing to the referring practitioner; and (c) an attendance to which item 104, 105, 107, 108, 110, 116 or 119 applies was not provided to the patient on the same day by the same practitioner; and (d) an attendance to which item 141 or 145 applies has been provided to the patient by the same practitioner in the preceding 12 months; and (e) an attendance to which this item or item 147 applies has not been provided to the patient in the preceding 12 months, unless there has been a significant change in the patient's clinical condition or care circumstances that requires a further review",335.05,
145,"Professional attendance of more than 60 minutes in duration at a place other than consulting rooms or hospital by a consultant physician or specialist in the practice of the consultant physician's or specialist's specialty of geriatric medicine, if: (a) the patient is at least 65 years old and referred by a medical practitioner practising in general practice (including a general practitioner, but not including a specialist or consultant physician) or a participating nurse practitioner; and (b) the attendance is initiated by the referring practitioner for the provision of a comprehensive assessment and management plan; and (c) during the attendance: (i) the medical, physical, psychological and social aspects of the patient's health are evaluated in detail utilising appropriately validated assessment tools if indicated (the assessment); and (ii) the patient's various health problems and care needs are identified and prioritised (the formulation); and (iii) a detailed management plan is prepared (the management plan) setting out: (A) the prioritised list of health problems and care needs; and (B) short and longer term management goals; and (C) recommended actions or intervention strategies, to be undertaken by the patient's general practitioner or another relevant health care provider that are likely to improve or maintain health status and are readily available and acceptable to the patient, the patient's family and any carers; and (iv) the management plan is explained and discussed with the patient and, if appropriate, the patient's family and any carers; and (v) the management plan is communicated in writing to the referring practitioner; and (d) an attendance to which item 104, 105, 107, 108, 110, 116 or 119 applies has not been provided to the patient on the same day by the same practitioner; and (e) an attendance to which this item or item 141 applies has not been provided to the patient by the same practitioner in the preceding 12 months",649.85,
147,"Professional attendance of more than 30 minutes in duration at a place other than consulting rooms or hospital by a consultant physician or specialist in the practice of the consultant physician's or specialist's specialty of geriatric medicine to review a management plan previously prepared by that consultant physician or specialist under items 141 or 145, if: (a) the review is initiated by the referring medical practitioner practising in general practice or a participating nurse practitioner; and (b) during the attendance: (i) the patient's health status is reassessed; and (ii) a management plan that was prepared under item 141 or 145 is reviewed and revised; and (iii) the revised management plan is explained to the patient and (if appropriate) the patient's family and any carers and communicated in writing to the referring practitioner; and (c) an attendance to which item 104, 105, 107, 108, 110, 116 or 119 applies has not been provided to the patient on the same day by the same practitioner; and (d) an attendance to which item 141 or 145 applies has been provided to the patient by the same practitioner in the preceding 12 months; and (e) an attendance to which this item or 143 applies has not been provided by the same practitioner in the preceding 12 months, unless there has been a significant change in the patient's clinical condition or care circumstances that requires a further review",406.20,
151,Professional attendance at consulting rooms lasting more than 60 minutes (other than a service to which any other item applies) by:(a) a medical practitioner who is not a general practitioner; or(b) a Group A1 disqualified general practitioner,98.40,
160,"Professional attendance by a general practitioner, specialist or consultant physician for a period of not less than 1 hour but less than 2 hours (other than a service to which another item applies) on a patient in imminent danger of death",258.45,
161,"Professional attendance by a general practitioner, specialist or consultant physician for a period of not less than 2 hours but less than 3 hours (other than a service to which another item applies) on a patient in imminent danger of death",430.65,
162,"Professional attendance by a general practitioner, specialist or consultant physician for a period of not less than 3 hours but less than 4 hours (other than a service to which another item applies) on a patient in imminent danger of death",602.70,
163,"Professional attendance by a general practitioner, specialist or consultant physician for a period of not less than 4 hours but less than 5 hours (other than a service to which another item applies) on a patient in imminent danger of death",775.25,
164,"Professional attendance by a general practitioner, specialist or consultant physician for a period of 5 hours or more (other than a service to which another item applies) on a patient in imminent danger of death",861.40,
165,"Professional attendance (other than an attendance at consulting rooms or a residential aged care facility or a service to which any other item in this Schedule applies) lasting more than 60 minutes—an attendance on one or more patients at one place on one occasion—each patient, by:(a) a medical practitioner who is not a general practitioner; or(b) a Group A1 disqualified general practitioner",,"An amount equal to $88.20, plus $15.50 divided by the number of patients seen, up to a maximum of six patients. For seven or more patients - an amount equal to $88.20 plus $0.70 per patient"
170,"Professional attendance for the purpose of group therapy of not less than 1 hour in duration given under the direct continuous supervision of a general practitioner, specialist or consultant physician (other than a consultant physician in the practice of the consultant physician's specialty of psychiatry) involving members of a family and persons with close personal relationships with that family-each group of 2 patients",137.15,
171,"Professional attendance for the purpose of group therapy of not less than 1 hour in duration given under the direct continuous supervision of a general practitioner, specialist or consultant physician (other than a consultant physician in the practice of the consultant physician's specialty of psychiatry) involving members of a family and persons with close personal relationships with that family-each group of 3 patients",144.50,
172,"Professional attendance for the purpose of group therapy of not less than 1 hour in duration given under the direct continuous supervision of a general practitioner, specialist or consultant physician (other than a consultant physician in the practice of the consultant physician's specialty of psychiatry) involving members of a family and persons with close personal relationships with that family-each group of 4 or more patients",175.80,
177,"Professional attendance on a patient who is 30 years of age or over for a heart health assessment by a prescribed medical practitioner at consulting rooms lasting at least 20 minutes and including: (a) collection of relevant information, including taking a patient history; and (b) a basic physical examination, which must include recording blood pressure and cholesterol; and (c) initiating interventions and referrals as indicated; and (d) implementing a management plan; and (e) providing the patient with preventative health care advice and information.",67.95,
179,Professional attendance at consulting rooms lasting not more than 5 minutes (other than a service to which any other item applies) by a prescribed medical practitioner in an eligible area—each attendance,16.10,
181,Professional attendance (other than an attendance at consulting rooms or a residential aged care facility or a service to which any other item applies) lasting not more than 5 minutes—an attendance on one or more patients at one place on one occasion by a prescribed medical practitioner in an eligible area—each patient,,"The fee for item 179, plus $24.60 divided by the number of patients seen, up to a maximum of six patients. For seven or more patients - the fee for item 179 plus $1.95 per patient."
185,Professional attendance at consulting rooms lasting more than 5 minutes but not more than 25 minutes (other than a service to which any other item applies) by a prescribed medical practitioner in an eligible area—each attendance,35.05,
187,Professional attendance (other than an attendance at consulting rooms or a residential aged care facility or a service to which any other item applies) lasting more than 5 minutes but not more than 25 minutes—an attendance on one or more patients at one place on one occasion by a prescribed medical practitioner in an eligible area—each patient,,"The fee for item 185, plus $24.60 divided by the number of patients seen, up to a maximum of six patients. For seven or more patients - the fee for item 185 plus $1.95 per patient."
189,Professional attendance at consulting rooms lasting more than 25 minutes but not more than 45 minutes (other than a service to which any other applies) by a prescribed medical practitioner in an eligible area—each attendance,67.95,
191,Professional attendance (other than an attendance at consulting rooms or a residential aged care facility or a service to which any other item applies) lasting more than 25 minutes but not more than 45 minutes—an attendance on one or more patients at one place on one occasion by a prescribed medical practitioner in an eligible area—each patient,,"The fee for item 189, plus $24.60 divided by the number of patients seen, up to a maximum of six patients. For seven or more patients - the fee for item 189 plus $1.95 per patient."
193,"Professional attendance by a medical practitioner who holds endorsement of registration for acupuncture with the Medical Board of Australia or is registered by the Chinese Medicine Board of Australia as an acupuncturist, at a place other than a hospital, for treatment lasting less than 20 minutes and including any of the following that are clinically relevant: (a) taking a patient history; (b) performing a clinical examination; (c) arranging any necessary investigation; (d) implementing a management plan; (e) providing appropriate preventive health care; for one or more health-related issues, with appropriate documentation, at which acupuncture is performed by the medical practitioner by the application of stimuli on or through the skin by any means, including any consultation on the same occasion and another attendance on the same day related to the condition for which the acupuncture is performed",43.20,
195,"Professional attendance by a medical practitioner who holds endorsement of registration for acupuncture with the Medical Board of Australia or is registered by the Chinese Medicine Board of Australia as an acupuncturist, on one or more patients at a hospital, for treatment lasting less than 20 minutes and including any of the following that are clinically relevant: (a) taking a patient history; (b) performing a clinical examination; (c) arranging any necessary investigation; (d) implementing a management plan; (e) providing appropriate preventive health care; for one or more health-related issues, with appropriate documentation, at which acupuncture is performed by the medical practitioner by the application of stimuli on or through the skin by any means, including any consultation on the same occasion and another attendance on the same day related to the condition for which the acupuncture is performed",,"The fee for item 193, plus $30.30 divided by the number of patients seen, up to a maximum of six patients. For seven or more patients - the fee for item 193 plus $2.40 per patient."
197,"Professional attendance by a medical practitioner who holds endorsement of registration for acupuncture with the Medical Board of Australia or is registered by the Chinese Medicine Board of Australia as an acupuncturist, at a place other than a hospital, for treatment lasting at least 20 minutes and including any of the following that are clinically relevant: (a) taking a detailed patient history; (b) performing a clinical examination; (c) arranging any necessary investigation; (d) implementing a management plan; (e) providing appropriate preventive health care; for one or more health-related issues, with appropriate documentation, at which acupuncture is performed by the medical practitioner by the application of stimuli on or through the skin by any means, including any consultation on the same occasion and another attendance on the same day related to the condition for which the acupuncture is performed",83.65,
